Evento,Estacion,Distancia,s_p
2014_01_04 00_11_50_M5_7,PB09,193.154,32.2
2014_01_04 08_25_35_M3_7,PB09,205.9,23.519
2014_01_06 12_14_04_M3_6,PB09,200.8,24.2541
2014_01_08 07_13_04_M2_1,PB14,38.8,5.4306
2014_01_08 11_07_02_M2_3,GO01,220.1,24.9074
2014_01_08 11_07_02_M2_3,PB06,172.0,19.8442
2014_01_08 11_07_02_M2_3,PB09,124.6,14.0461
2014_01_11 13_43_26_M3_7,PB06,251.8,31.2363
2014_01_11 13_43_26_M3_7,PB09,193.7,22.0492
2014_01_14 10_30_33_M3_4,GO03,87.1,8.8196
2014_01_18 15_49_55_M3_7,PB09,202.7,21.6817
2014_01_20 23_32_46_M3_2,PB09,247.7,27.9289
2014_01_22 17_36_50_M3_6,PB06,243.9,28.5822
2014_02_03 12_36_27_M2_8,GO03,155.9,17.3126
2014_02_04 11_44_28_M3_6,GO01,333.0,35.932
2014_02_07 18_35_16_M2_5,GO01,194.7,24.1724
2014_02_13 20_01_54_M3_0,PB06,1057.4,22.0492
2014_02_21 18_17_30_M2_5,PB06,107.2,11.1062
2014_02_24 23_30_36_M3_5,GO01,138.4,16.3327
2014_02_25 00_03_05_M2_5,GO01,138.3,17.3126
2014_02_28 20_36_36_M2_9,PB06,245.6,27.9289
2014_03_05 23_49_40_M3_6,GO03,291.8,31.2363
2014_03_10 08_59_25_M3_5,PB09,179.0,19.1092
2014_03_13 03_32_21_M3_5,PB06,167.7,18.0068
2014_03_15 02_46_56_M3_5,PB09,261.6,44.0983
2014_03_17 05_11_33_M6_4,GO01,176.796,27.7
2014_03_18 07_27_08_M2_4,GO01,172.2,20.9058
2014_03_18 14_58_44_M4_4,GO01,198.406,27.7
2014_03_18 16_46_17_M3_4,PB06,330.6,43.7309
2014_03_18 17_31_58_M2_5,GO01,193.2,23.5191
2014_03_18 20_17_34_M4_0,PB06,97.5359,11.5
2014_03_18 20_32_18_M2_5,PB09,282.2,32.3387
2014_03_18 21_26_46_M5_8,GO01,169.906,26.7
2014_03_19 01_19_19_M2_9,PB06,331.4,13.0662
2014_03_19 04_49_50_M3_6,GO03,186.0,20.9058
2014_03_19 12_23_14_M3_5,GO01,183.1,21.5592
2014_03_19 21_15_22_M3_7,PB09,255.3,29.0314
2014_03_20 11_40_16_M3_1,PB06,54.9,6.2064
2014_03_21 18_29_22_M2_7,GO01,162.7,18.9459
2014_03_22 12_59_57_M6_2,GO01,184.387,30.5
2014_03_22 13_29_59_M5_6,GO01,179.214,30.0
2014_03_23 07_03_09_M3_3,PB06,355.1,40.7909
2014_03_23 18_20_01_M6_2,GO01,167.406,26.9
2014_03_23 20_23_04_M5_3,GO01,175.043,39.5
2014_03_24 00_42_03_M2_7,GO01,181.7,22.2124
2014_03_24 04_41_40_M2_5,GO01,181.0,21.5591
2014_03_24 05_22_41_M4_0,GO01,157.291,20.8
2014_03_24 11_26_37_M5_8,GO01,164.468,27.0
2014_03_24 11_40_43_M5_7,GO01,174.399,46.2
2014_03_24 12_22_19_M4_1,PB09,197.638,25.3
2014_03_24 15_45_30_M5_7,GO01,161.026,35.9
2014_03_24 19_59_42_M4_6,GO01,173.535,24.2
2014_03_25 22_08_46_M3_6,GO03,147.1,15.7202
2014_03_26 02_14_41_M3_3,GO01,180.1,20.9059
2014_03_26 07_07_32_M2_4,PB09,253.2,30.5014
2014_03_26 07_07_32_M2_4,PB06,322.0,37.1569
2014_03_26 11_29_41_M2_4,PB09,294.4,36.0136
2014_03_26 11_29_41_M2_4,GO01,186.8,21.2325
2014_03_26 15_01_02_M3_7,GO01,203.0,23.1924
2014_03_27 02_32_21_M2_4,GO01,168.2,19.9259
2014_03_27 07_32_11_M2_6,PB09,215.9,27.7656
2014_03_27 07_32_11_M2_6,GO01,199.0,24.4991
2014_03_29 06_56_57_M2_7,GO01,205.0,23.5191
2014_04_01 01_06_37_M2_9,GO01,203.4,22.8658
2014_04_01 23_46_47_M8_1,GO01,168.517,42.8
2014_04_01 23_57_56_M7_0,GO01,194.337,51.2
2014_04_02 02_52_26_M4_9,GO01,171.436,39.0
2014_04_02 04_46_19_M5_7,GO01,167.99,40.5
2014_04_02 14_10_49_M3_5,GO01,183.7,21.8858
2014_04_02 16_50_29_M4_7,GO01,103.88,45.6
2014_04_02 19_45_49_M5_3,PB09,167.732,1.1
2014_04_02 20_34_42_M4_5,GO01,194.526,36.8
2014_04_03 01_58_29_M6_6,GO01,157.579,23.6
2014_04_03 02_56_04_M5_5,PB09,183.846,44.3
2014_04_03 09_08_57_M5_0,GO01,155.966,11.3
2014_04_03 13_01_37_M4_7,GO01,182.216,41.2
2014_04_03 15_08_07_M5_3,GO01,201.882,25.7
2014_04_03 19_56_49_M3_3,PB09,220.9,24.989
2014_04_04 03_18_37_M4_7,PB09,192.985,25.3
2014_04_04 07_13_19_M3_8,GO01,137.2,15.3528
2014_04_04 13_41_28_M3_9,PB09,388.5,45.2007
2014_04_04 16_02_42_M4_9,GO01,187.632,46.7
2014_04_04 21_53_32_M2_4,GO01,161.6,19.2726
2014_04_05 02_22_39_M5_6,GO03,579.633,93.7
2014_04_05 06_32_08_M4_8,GO01,181.866,42.9
2014_04_05 11_58_25_M4_6,GO01,191.279,29.0
2014_04_05 12_23_08_M3_6,PB06,314.7,31.4405
2014_04_06 18_00_56_M3_4,PB09,224.4,27.5614
2014_04_06 19_42_22_M3_5,GO01,186.3,22.2125
2014_04_09 00_41_47_M1_9,PB14,588.2,75.947
2014_04_10 00_10_32_M4_7,GO01,190.664,33.5
2014_04_10 15_47_24_M2_3,GO01,104.5,12.0862
2014_04_11 00_01_43_M6_1,GO01,191.445,28.3
2014_04_11 12_00_51_M5_0,GO01,150.573,20.7
2014_04_11 19_08_34_M3_1,GO01,144.0,16.986
2014_04_12 17_16_53_M2_8,GO01,338.0,37.9735
2014_04_13 13_28_11_M3_7,GO01,188.9,22.2941
2014_04_14 05_56_20_M5_3,PB09,192.236,34.9
2014_04_15 01_59_32_M3_3,PB09,296.2,30.7055
2014_04_15 16_09_35_M5_3,GO01,175.277,26.7
2014_04_15 16_21_17_M5_1,GO01,173.141,25.1
2014_04_15 17_12_20_M5_0,GO01,180.74,23.9
2014_04_19 18_21_54_M2_9,GO01,286.7,31.8488
2014_04_20 04_23_09_M4_2,GO01,177.085,24.6
2014_04_20 07_54_56_M5_0,GO01,192.283,1.8
2014_04_21 07_10_38_M4_0,GO01,191.744,23.4
2014_04_23 11_42_00_M2_7,GO01,116.6,13.0661
2014_04_24 04_56_50_M4_8,GO01,179.934,25.6
2014_04_24 10_26_49_M5_2,GO01,199.31,4.3
2014_05_01 09_39_40_M2_5,PB09,180.3,20.9059
2014_05_02 08_28_30_M2_7,GO01,184.5,21.5592
2014_05_03 19_24_53_M2_4,GO01,169.1,21.5591
2014_05_05 02_52_03_M4_8,GO01,187.973,22.7
2014_05_05 09_02_55_M4_9,GO01,195.152,29.9
2014_05_05 12_51_27_M3_8,PB09,339.2,36.0136
2014_05_06 15_03_56_M2_7,GO01,151.3,17.721
2014_05_10 16_40_18_M3_9,GO03,90.3,10.1263
2014_05_11 00_35_54_M2_3,PB09,164.3,18.3743
2014_05_11 00_35_54_M2_3,GO01,134.6,16.3327
2014_05_12 09_10_21_M2_6,GO01,238.0,25.8057
2014_05_12 11_54_28_M4_7,GO01,210.083,26.9
2014_05_15 16_20_54_M4_2,CO02,218.321,34.2
2014_05_15 17_45_45_M3_4,CO02,174.0,18.6193
2014_05_19 06_02_52_M3_0,GO01,191.4,21.8859
2014_05_20 10_46_35_M2_7,GO01,232.4,24.1724
2014_05_23 01_27_03_M2_9,GO01,187.0,21.8858
2014_05_24 08_03_06_M3_2,PB06,269.8,32.2571
2014_05_27 20_54_27_M2_6,GO01,121.0,13.3928
2014_05_28 00_41_24_M3_1,GO03,662.5,46.5482
2014_05_28 10_27_03_M4_5,CO02,145.122,16.4
2014_06_01 12_13_01_M2_6,GO01,204.4,22.8658
2014_06_04 17_04_26_M5_1,GO01,201.475,38.0
2014_06_04 17_27_40_M2_4,PB06,257.7,28.5822
2014_06_07 07_48_35_M3_0,GO01,153.5,17.3126
2014_06_07 19_10_58_M4_8,GO01,213.447,29.7
2014_06_10 06_14_24_M3_5,PB09,278.8,37.2385
2014_06_14 16_11_29_M3_9,GO03,321.9,39.1985
2014_06_19 00_31_20_M4_3,GO01,192.603,29.0
2014_06_19 09_38_35_M5_8,GO01,173.343,26.4
2014_06_19 19_59_45_M5_3,GO01,179.729,22.7
2014_06_20 18_05_34_M1_9,GO03,550.6,60.7577
2014_06_20 20_22_27_M5_8,GO01,187.245,36.1
2014_06_21 07_22_34_M2_7,PB09,191.4,22.8658
2014_06_28 15_47_41_M3_8,GO01,106.1,11.1062
2014_07_06 06_58_33_M3_3,CO01,238.5,27.5615
2014_07_08 17_19_43_M2_8,GO01,155.0,17.966
2014_07_08 20_42_26_M2_3,GO01,155.3,17.3126
2014_07_12 01_53_48_M2_6,CO02,288.6,30.0522
2014_07_13 13_13_16_M2_5,PB09,102.7,14.0461
2014_07_13 19_00_24_M3_9,PB14,53.0,6.2064
2014_07_16 03_37_47_M3_3,CO02,132.1,15.4344
2014_07_26 21_25_15_M3_6,GO01,369.5,39.1985
2014_07_28 10_22_40_M3_2,PB09,236.2,26.8265
2014_08_04 13_07_16_M2_6,GO01,105.7,12.7395
2014_08_05 17_13_06_M3_0,GO01,187.3,21.8858
2014_08_10 20_42_17_M2_5,GO01,91.9,11.1063
2014_08_23 22_32_23_M6_4,CO02,173.777,23.0
2014_08_27 21_10_00_M2_6,GO01,163.3,20.5792
2014_08_27 21_10_00_M2_6,PB06,356.4,42.4651
2014_09_01 20_41_31_M3_4,GO01,159.1,19.2726
2014_09_12 16_14_33_M3_9,CO02,183.5,20.9059
2014_09_14 13_14_23_M3_2,GO01,116.1,13.7195
2014_09_23 03_43_38_M2_8,GO01,208.4,23.5191
2014_10_14 09_16_43_M5_1,CO02,293.05,43.5
2014_10_16 21_56_28_M2_6,GO01,220.5,25.724
2014_10_17 13_30_53_M3_2,CO02,104.9,12.0862
2014_10_19 08_02_23_M3_7,GO01,199.1,21.5591
2014_10_23 23_38_51_M5_2,CO02,335.745,59.4
2014_10_24 00_58_46_M4_6,CO02,332.386,59.0
2014_11_23 08_54_27_M2_3,PB06,106.9,12.4129
2014_11_23 08_54_27_M2_3,PB09,166.1,18.0068
2014_11_27 11_15_29_M2_6,CO02,183.7,22.2125
2014_12_02 01_00_45_M4_5,PB09,286.492,16.3
2014_12_08 23_16_22_M3_5,CO02,349.4,49.978
2014_12_25 20_44_54_M2_8,GO03,364.6,38.7085
2015_01_02 01_02_18_M3_4,PB09,265.7,31.2363
2015_01_02 12_08_42_M2_6,GO01,124.3,12.7396
2015_01_05 22_09_18_M3_3,CO01,183.3,21.2325
2015_01_07 17_19_06_M2_7,GO01,150.6,18.6193
2015_01_18 19_32_31_M2_6,PB06,97.3,9.718
2015_01_21 17_51_59_M3_6,GO03,77.9,8.493
2015_01_23 01_25_37_M4_4,CO02,177.016,23.0
2015_01_26 01_38_24_M2_4,CO02,71.6,9.1463
2015_01_27 09_59_44_M2_9,PB06,327.6,42.0567
2015_02_14 14_47_30_M4_1,PB09,290.106,50.4
2015_02_14 15_00_04_M3_1,PB06,367.3,26.949
2015_02_17 21_21_43_M2_3,PB06,128.5,14.6994
2015_02_22 05_40_18_M4_6,PB09,260.869,46.5
2015_03_02 08_28_33_M2_7,CO02,436.7,44.0983
2015_03_02 14_02_07_M4_0,GO03,124.649,23.1
2015_03_09 06_17_15_M3_5,PB14,164.9,18.0068
2015_03_13 00_22_02_M3_9,CO02,177.6,21.5592
2015_03_26 22_30_26_M2_6,PB09,103.6,10.7796
2015_03_30 12_23_59_M2_8,PB09,213.8,23.5191
2015_03_30 12_23_59_M2_8,PB06,267.0,29.3989
2015_04_07 21_16_22_M2_8,CO02,72.5,7.8397
2015_04_13 23_36_33_M3_7,GO03,415.2,41.1584
2015_04_29 11_34_16_M3_9,AC02,233.4,24.254
2015_05_12 05_50_13_M2_9,PB09,136.2,14.332
2015_05_14 15_08_01_M5_2,GO03,182.919,24.0
2015_06_01 04_27_52_M2_7,PB06,111.1,12.4129
2015_06_20 19_49_26_M3_1,CO02,242.6,23.8458
2015_06_24 22_23_18_M3_4,CO02,109.7,13.0662
2015_07_19 09_18_21_M3_5,CO02,96.3,11.7187
2015_08_01 10_19_06_M3_4,GO03,195.9,22.2125
2015_08_01 18_11_01_M2_6,PB06,114.6,13.0662
2015_08_06 07_31_07_M2_8,CO02,187.7,22.2125
2015_08_12 00_14_39_M5_5,CO02,81.7123,11.6
2015_08_12 17_45_32_M3_8,GO03,587.6,63.2076
2015_08_23 23_26_07_M3_4,GO03,269.0,30.5013
2015_08_24 23_56_38_M3_8,CO02,172.2,19.2726
2015_08_27 18_14_58_M3_8,PB09,419.8,43.3633
2015_09_16 23_16_09_M6_1,GO03,474.429,110.4
2015_09_16 23_38_01_M5_9,GO03,495.827,95.4
2015_09_17 01_41_05_M6_4,AC02,414.916,66.2
2015_09_17 03_34_50_M4_6,GO03,506.703,75.9
2015_09_17 03_55_15_M6_5,GO03,448.212,79.5
2015_09_17 04_02_10_M5_7,GO03,434.926,59.4
2015_09_17 06_36_34_M5_1,PB09,360.279,65.0
2015_09_17 10_12_52_M4_9,GO03,369.515,59.7
2015_09_17 10_31_26_M5_2,GO03,396.575,54.3
2015_09_17 12_09_43_M5_3,GO03,538.457,121.4
2015_09_17 12_14_34_M5_9,GO03,604.558,94.6
2015_09_17 13_32_26_M5_9,GO03,545.231,95.6
2015_09_17 16_46_21_M4_8,GO03,457.464,64.2
2015_09_17 20_24_35_M5_0,GO03,549.739,110.9
2015_09_18 09_10_44_M6_2,GO03,563.196,123.8
2015_09_19 12_52_20_M6_2,GO03,554.393,77.5
2015_09_19 13_35_54_M3_7,PB06,1097.6,49.4064
2015_09_19 22_35_30_M4_3,GO03,375.654,52.6
2015_09_21 05_39_34_M6_1,GO03,466.305,63.8
2015_09_21 19_08_03_M4_2,GO03,473.366,73.8
2015_09_22 07_13_00_M6_0,GO03,442.244,67.6
2015_09_22 07_13_00_M6_1,GO03,441.69,67.6
2015_09_27 21_04_45_M5_4,CO02,92.4648,10.5
2015_09_29 16_46_15_M4_4,CO02,107.027,17.5
2015_10_03 18_27_52_M4_0,CO02,97.6911,15.8
2015_10_08 02_54_18_M4_1,GO03,349.539,55.5
2015_10_09 22_18_19_M4_1,GO03,357.093,50.6
2015_10_15 11_03_11_M4_7,GO03,391.013,68.6
2015_10_23 14_47_58_M4_5,GO03,376.5,58.6
2015_11_06 08_44_07_M5_4,GO03,344.924,60.4
2015_11_07 07_31_43_M6_8,GO03,385.78,62.5
2015_11_07 10_53_44_M5_7,GO03,367.072,69.2
2015_11_07 11_51_29_M4_4,GO03,371.027,61.5
2015_11_11 02_46_19_M6_9,GO03,277.582,48.1
2016_02_10 13_15_01_M4_4,CO02,107.682,14.7
2016_02_12 22_32_04_M4_8,GO01,138.17,16.9
2016_02_24 17_02_04_M4_6,CO02,155.121,20.4
2016_02_26 23_34_06_M3_7,CO02,169.7,17.966
2016_05_01 01_15_43_M3_6,CO02,174.2,18.946
2016_06_03 13_46_53_M4_2,PB09,326.85,46.6
2016_06_05 05_51_11_M5_8,CO01,187.287,23.5
2016_06_05 09_30_52_M4_0,CO02,235.809,29.2
2016_07_18 02_58_50_M5_2,CO02,94.153,12.1
2016_08_10 06_43_40_M4_5,CO02,109.87,18.3
2016_10_27 20_32_55_M5_9,CO02,318.875,61.1
2017_02_12 16_21_10_M4_9,GO03,117.343,19.2
2017_03_31 18_44_38_M5_2,CO02,79.9951,9.9
2017_04_24 21_38_30_M6_9,CO02,227.039,42.7
2017_04_28 15_58_34_M5_4,CO02,246.566,39.9
2017_04_28 16_18_41_M4_6,CO02,253.06,38.0
2017_06_12 02_43_26_M5_7,CO02,83.365,12.6
2017_09_18 13_46_57_M5_9,CO02,125.719,18.0
2017_10_07 10_37_24_M4_1,CO02,166.57,22.3
2017_12_28 03_54_51_M5_5,PB14,60.1544,15.8
2018_08_01 06_19_05_M4_9,CO02,104.193,13.5
2018_09_22 13_13_58_M5_4,PB14,157.386,22.2
2018_09_23 05_32_11_M5_4,PB14,78.6489,13.5
2019_01_20 01_32_51_M6_7,CO01,140.428,39.5
2019_01_30 07_44_45_M5_6,PB14,153.147,20.5
2019_03_07 15_34_28_M5_7,PB14,582.628,61.2
2019_03_16 18_06_15_M5_2,PB14,583.975,111.5
2019_06_03 08_42_17_M5_2,GO01,138.707,18.3
2019_08_02 00_09_15_M4_2,CO02,349.536,55.5
2019_08_02 00_55_16_M5_4,CO02,348.914,60.6
2019_09_26 20_31_28_M5_4,CO02,153.865,22.3
2019_11_04 21_53_25_M6_1,CO02,95.517,11.5
2019_11_24 21_18_25_M4_7,CO02,88.2889,13.2
2019_12_03 08_46_36_M6_0,GO01,199.627,27.7
2020_01_09 16_25_56_M4_1,GO01,203.872,28.0
2020_01_28 18_16_44_M5_5,CO02,167.587,32.7
2020_02_11 13_50_02_M5_3,PB14,64.7396,7.2
2020_02_13 05_50_38_M5_0,PB09,185.831,28.8
2020_03_24 06_52_15_M5_0,CO02,114.528,22.6
2020_04_03 08_48_00_M4_8,GO03,219.042,41.1
2020_06_15 04_35_44_M4_4,CO02,144.023,17.6
2020_07_20 20_33_52_M4_5,PB14,44.2519,1.9
2020_09_01 04_09_28_M6_8,GO03,115.827,19.5
2020_09_01 04_30_02_M6_3,GO03,116.122,17.9
2020_09_01 05_29_38_M5_5,GO03,117.469,19.1
2020_09_01 10_31_52_M5_7,GO03,121.099,21.4
2020_09_03 03_23_54_M4_6,GO03,131.547,17.7
2020_09_11 07_35_57_M6_2,PB09,97.4866,14.3
2020_10_11 07_06_13_M3_8,PB06,386.6,38.7901
2020_10_25 21_17_14_M5_3,GO01,189.638,28.7
2020_10_28 14_53_10_M5_8,CO01,137.939,18.1
2020_11_18 05_31_39_M3_9,GO03,268.8,28.6639
2020_11_21 02_11_48_M5_5,CO02,74.6643,7.3
